codigo_reserva,tarifa,cabina,ruta,categoria_pass,millas_acumuladas,perfil_narrativo
NGM578,Full,Economy,Santiago-Miami,Red,10253,"Reserva NGM578: tarifa Full, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 10253 millas acumuladas."
VEC444,Light,Premium Business,Santiago-Lima,Red,36006,"Reserva VEC444: tarifa Light, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Red, 36006 millas acumuladas."
BTV115,Plus,Premium Economy,Santiago-Bogota,Red,16293,"Reserva BTV115: tarifa Plus, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 16293 millas acumuladas."
GFY485,Light,Premium Business,Santiago-Buenos Aires,Red,11011,"Reserva GFY485: tarifa Light, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 11011 millas acumuladas."
WZY814,Plus,Premium Economy,Santiago-Lima,Silver,3065,"Reserva WZY814: tarifa Plus, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Silver, 3065 millas acumuladas."
DAK972,Full,Economy,Santiago-Bogota,Black,22383,"Reserva DAK972: tarifa Full, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Black, 22383 millas acumuladas."
HZP570,Full,Premium Business,Santiago-Buenos Aires,Black,33782,"Reserva HZP570: tarifa Full, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Black, 33782 millas acumuladas."
DZB156,Plus,Premium Economy,Santiago-Lima,Silver,38241,"Reserva DZB156: tarifa Plus, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Silver, 38241 millas acumuladas."
YPP006,Top,Premium Economy,Santiago-Bogota,Red,3272,"Reserva YPP006: tarifa Top, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 3272 millas acumuladas."
SHG164,Light,Economy,Santiago-Miami,Red,5902,"Reserva SHG164: tarifa Light, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 5902 millas acumuladas."
QPC551,Top,Economy,Santiago-Bogota,Red,4748,"Reserva QPC551: tarifa Top, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 4748 millas acumuladas."
JDW769,Light,Premium Business,Santiago-Buenos Aires,Gold,6618,"Reserva JDW769: tarifa Light, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Gold, 6618 millas acumuladas."
HRY111,Plus,Premium Economy,Santiago-Sao Paulo,Red,11736,"Reserva HRY111: tarifa Plus, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 11736 millas acumuladas."
QTE624,Light,Economy,Santiago-Miami,Red,24307,"Reserva QTE624: tarifa Light, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 24307 millas acumuladas."
VBJ191,Full,Premium Business,Santiago-Miami,Red,65012,"Reserva VBJ191: tarifa Full, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 65012 millas acumuladas."
PCY610,Top,Premium Business,Santiago-Buenos Aires,Gold,3323,"Reserva PCY610: tarifa Top, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Gold, 3323 millas acumuladas."
DDH878,Top,Economy,Santiago-Bogota,Red,25348,"Reserva DDH878: tarifa Top, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 25348 millas acumuladas."
SJP897,Plus,Economy,Santiago-Bogota,Gold,19584,"Reserva SJP897: tarifa Plus, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Gold, 19584 millas acumuladas."
XAT398,Plus,Premium Economy,Santiago-Bogota,Gold,1153,"Reserva XAT398: tarifa Plus, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Gold, 1153 millas acumuladas."
UCW828,Full,Premium Economy,Santiago-Sao Paulo,Red,1847,"Reserva UCW828: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 1847 millas acumuladas."
VWF632,Light,Premium Economy,Santiago-Sao Paulo,Platinum,14644,"Reserva VWF632: tarifa Light, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 14644 millas acumuladas."
RKZ591,Top,Economy,Santiago-Buenos Aires,Red,985,"Reserva RKZ591: tarifa Top, cabina Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 985 millas acumuladas."
ZGC473,Light,Premium Economy,Santiago-Buenos Aires,Red,5899,"Reserva ZGC473: tarifa Light, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 5899 millas acumuladas."
EBL586,Plus,Premium Economy,Santiago-Miami,Gold,15223,"Reserva EBL586: tarifa Plus, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Gold, 15223 millas acumuladas."
BRH387,Top,Premium Business,Santiago-Sao Paulo,Platinum,9585,"Reserva BRH387: tarifa Top, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 9585 millas acumuladas."
SHS516,Full,Premium Business,Santiago-Bogota,Red,18736,"Reserva SHS516: tarifa Full, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Red, 18736 millas acumuladas."
QHP024,Top,Premium Economy,Santiago-Miami,Gold,12358,"Reserva QHP024: tarifa Top, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Gold, 12358 millas acumuladas."
LFM971,Light,Premium Economy,Santiago-Buenos Aires,Gold,10212,"Reserva LFM971: tarifa Light, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Gold, 10212 millas acumuladas."
RQC923,Plus,Economy,Santiago-Lima,Silver,8367,"Reserva RQC923: tarifa Plus, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Silver, 8367 millas acumuladas."
BZQ748,Plus,Premium Business,Santiago-Miami,Red,1712,"Reserva BZQ748: tarifa Plus, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 1712 millas acumuladas."
MFR077,Light,Premium Economy,Santiago-Bogota,Red,15175,"Reserva MFR077: tarifa Light, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 15175 millas acumuladas."
EYN028,Full,Economy,Santiago-Miami,Red,10656,"Reserva EYN028: tarifa Full, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 10656 millas acumuladas."
SZQ986,Full,Premium Business,Santiago-Miami,Platinum,4301,"Reserva SZQ986: tarifa Full, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Platinum, 4301 millas acumuladas."
XTM226,Full,Premium Business,Santiago-Bogota,Red,21131,"Reserva XTM226: tarifa Full, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Red, 21131 millas acumuladas."
GBG235,Plus,Economy,Santiago-Bogota,Red,1201,"Reserva GBG235: tarifa Plus, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 1201 millas acumuladas."
KDF434,Light,Economy,Santiago-Miami,Red,2637,"Reserva KDF434: tarifa Light, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 2637 millas acumuladas."
KUY085,Full,Economy,Santiago-Sao Paulo,Platinum,24763,"Reserva KUY085: tarifa Full, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 24763 millas acumuladas."
HKX857,Plus,Premium Economy,Santiago-Bogota,Silver,30772,"Reserva HKX857: tarifa Plus, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Silver, 30772 millas acumuladas."
GMK677,Full,Economy,Santiago-Buenos Aires,Gold,3097,"Reserva GMK677: tarifa Full, cabina Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Gold, 3097 millas acumuladas."
NXQ604,Full,Economy,Santiago-Lima,Platinum,11626,"Reserva NXQ604: tarifa Full, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Platinum, 11626 millas acumuladas."
GHL382,Full,Premium Economy,Santiago-Lima,Gold,33963,"Reserva GHL382: tarifa Full, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Gold, 33963 millas acumuladas."
MTB920,Light,Economy,Santiago-Bogota,Red,1748,"Reserva MTB920: tarifa Light, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 1748 millas acumuladas."
EAD165,Plus,Premium Economy,Santiago-Sao Paulo,Red,8355,"Reserva EAD165: tarifa Plus, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 8355 millas acumuladas."
UEQ718,Top,Economy,Santiago-Buenos Aires,Gold,29570,"Reserva UEQ718: tarifa Top, cabina Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Gold, 29570 millas acumuladas."
AHS937,Light,Premium Business,Santiago-Bogota,Red,10723,"Reserva AHS937: tarifa Light, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Red, 10723 millas acumuladas."
CUW619,Light,Premium Economy,Santiago-Buenos Aires,Red,3767,"Reserva CUW619: tarifa Light, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 3767 millas acumuladas."
LJN388,Light,Premium Economy,Santiago-Sao Paulo,Red,6178,"Reserva LJN388: tarifa Light, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 6178 millas acumuladas."
RVS479,Top,Premium Business,Santiago-Buenos Aires,Black,5855,"Reserva RVS479: tarifa Top, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Black, 5855 millas acumuladas."
UMV532,Light,Premium Economy,Santiago-Miami,Silver,18211,"Reserva UMV532: tarifa Light, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 18211 millas acumuladas."
FMQ308,Plus,Premium Economy,Santiago-Bogota,Red,53516,"Reserva FMQ308: tarifa Plus, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 53516 millas acumuladas."
JGG585,Plus,Economy,Santiago-Bogota,Black,4350,"Reserva JGG585: tarifa Plus, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Black, 4350 millas acumuladas."
TMU664,Light,Economy,Santiago-Sao Paulo,Silver,5368,"Reserva TMU664: tarifa Light, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 5368 millas acumuladas."
FSH545,Full,Premium Business,Santiago-Buenos Aires,Red,563,"Reserva FSH545: tarifa Full, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 563 millas acumuladas."
HSG211,Light,Premium Business,Santiago-Buenos Aires,Silver,10477,"Reserva HSG211: tarifa Light, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Silver, 10477 millas acumuladas."
YSE725,Top,Economy,Santiago-Bogota,Red,4899,"Reserva YSE725: tarifa Top, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 4899 millas acumuladas."
HJH710,Light,Premium Business,Santiago-Sao Paulo,Platinum,4107,"Reserva HJH710: tarifa Light, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 4107 millas acumuladas."
SDW485,Full,Premium Economy,Santiago-Miami,Red,10084,"Reserva SDW485: tarifa Full, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 10084 millas acumuladas."
JZG810,Full,Economy,Santiago-Buenos Aires,Black Signature,4157,"Reserva JZG810: tarifa Full, cabina Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Black Signature, 4157 millas acumuladas."
RBD539,Light,Premium Business,Santiago-Miami,Silver,21508,"Reserva RBD539: tarifa Light, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Silver, 21508 millas acumuladas."
QUF544,Full,Premium Economy,Santiago-Buenos Aires,Red,19541,"Reserva QUF544: tarifa Full, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 19541 millas acumuladas."
QQT922,Light,Economy,Santiago-Bogota,Red,15007,"Reserva QQT922: tarifa Light, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 15007 millas acumuladas."
EBA452,Plus,Premium Economy,Santiago-Sao Paulo,Silver,11510,"Reserva EBA452: tarifa Plus, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 11510 millas acumuladas."
SLS976,Plus,Premium Economy,Santiago-Lima,Red,27054,"Reserva SLS976: tarifa Plus, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 27054 millas acumuladas."
PRX801,Top,Premium Business,Santiago-Buenos Aires,Red,3096,"Reserva PRX801: tarifa Top, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 3096 millas acumuladas."
YLM342,Full,Premium Economy,Santiago-Lima,Red,13406,"Reserva YLM342: tarifa Full, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 13406 millas acumuladas."
QXT602,Light,Premium Business,Santiago-Sao Paulo,Silver,250,"Reserva QXT602: tarifa Light, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 250 millas acumuladas."
PUE542,Full,Premium Business,Santiago-Miami,Silver,3852,"Reserva PUE542: tarifa Full, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Silver, 3852 millas acumuladas."
ZMK311,Full,Premium Business,Santiago-Miami,Silver,2874,"Reserva ZMK311: tarifa Full, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Silver, 2874 millas acumuladas."
GYV543,Top,Economy,Santiago-Miami,Silver,7334,"Reserva GYV543: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 7334 millas acumuladas."
WVA840,Top,Premium Business,Santiago-Miami,Black,2219,"Reserva WVA840: tarifa Top, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Black, 2219 millas acumuladas."
RUE594,Full,Economy,Santiago-Lima,Red,1806,"Reserva RUE594: tarifa Full, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 1806 millas acumuladas."
ZQF155,Light,Economy,Santiago-Lima,Platinum,31475,"Reserva ZQF155: tarifa Light, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Platinum, 31475 millas acumuladas."
MCV475,Top,Premium Economy,Santiago-Miami,Red,16181,"Reserva MCV475: tarifa Top, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 16181 millas acumuladas."
ZFP395,Plus,Economy,Santiago-Sao Paulo,Gold,12151,"Reserva ZFP395: tarifa Plus, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Gold, 12151 millas acumuladas."
UWJ720,Top,Premium Business,Santiago-Buenos Aires,Silver,4153,"Reserva UWJ720: tarifa Top, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Silver, 4153 millas acumuladas."
ZMD535,Full,Premium Economy,Santiago-Sao Paulo,Red,34126,"Reserva ZMD535: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 34126 millas acumuladas."
WZF384,Top,Premium Business,Santiago-Miami,Platinum,15040,"Reserva WZF384: tarifa Top, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Platinum, 15040 millas acumuladas."
SVK689,Full,Economy,Santiago-Bogota,Red,6443,"Reserva SVK689: tarifa Full, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 6443 millas acumuladas."
NQW845,Full,Economy,Santiago-Bogota,Gold,34111,"Reserva NQW845: tarifa Full, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Gold, 34111 millas acumuladas."
KRD493,Full,Premium Business,Santiago-Lima,Platinum,22703,"Reserva KRD493: tarifa Full, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Platinum, 22703 millas acumuladas."
WWW337,Full,Premium Business,Santiago-Lima,Silver,1318,"Reserva WWW337: tarifa Full, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Silver, 1318 millas acumuladas."
QFS220,Light,Premium Business,Santiago-Lima,Red,34323,"Reserva QFS220: tarifa Light, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Red, 34323 millas acumuladas."
LSX072,Top,Premium Economy,Santiago-Bogota,Silver,138,"Reserva LSX072: tarifa Top, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Silver, 138 millas acumuladas."
FKS116,Full,Premium Business,Santiago-Bogota,Red,16337,"Reserva FKS116: tarifa Full, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Red, 16337 millas acumuladas."
MPF646,Full,Premium Economy,Santiago-Buenos Aires,Red,2629,"Reserva MPF646: tarifa Full, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 2629 millas acumuladas."
DLJ564,Top,Premium Economy,Santiago-Sao Paulo,Silver,17659,"Reserva DLJ564: tarifa Top, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 17659 millas acumuladas."
EKM255,Top,Economy,Santiago-Miami,Silver,3809,"Reserva EKM255: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 3809 millas acumuladas."
GPS706,Full,Premium Economy,Santiago-Bogota,Gold,4062,"Reserva GPS706: tarifa Full, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Gold, 4062 millas acumuladas."
QJR667,Plus,Premium Business,Santiago-Lima,Red,20585,"Reserva QJR667: tarifa Plus, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Red, 20585 millas acumuladas."
XRH457,Light,Premium Economy,Santiago-Sao Paulo,Silver,28379,"Reserva XRH457: tarifa Light, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 28379 millas acumuladas."
TED595,Top,Economy,Santiago-Sao Paulo,Silver,12600,"Reserva TED595: tarifa Top, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 12600 millas acumuladas."
XYZ288,Full,Economy,Santiago-Bogota,Red,6876,"Reserva XYZ288: tarifa Full, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 6876 millas acumuladas."
UFS638,Top,Economy,Santiago-Miami,Red,4195,"Reserva UFS638: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 4195 millas acumuladas."
ANL665,Top,Economy,Santiago-Bogota,Black,7490,"Reserva ANL665: tarifa Top, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Black, 7490 millas acumuladas."
MQY366,Full,Premium Business,Santiago-Sao Paulo,Platinum,14960,"Reserva MQY366: tarifa Full, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 14960 millas acumuladas."
RCB091,Plus,Premium Business,Santiago-Bogota,Gold,10476,"Reserva RCB091: tarifa Plus, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Gold, 10476 millas acumuladas."
KJY655,Plus,Premium Economy,Santiago-Lima,Silver,10174,"Reserva KJY655: tarifa Plus, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Silver, 10174 millas acumuladas."
WQY262,Full,Economy,Santiago-Sao Paulo,Red,19226,"Reserva WQY262: tarifa Full, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 19226 millas acumuladas."
CSP933,Plus,Economy,Santiago-Miami,Red,369,"Reserva CSP933: tarifa Plus, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Red, 369 millas acumuladas."
CFR903,Plus,Premium Business,Santiago-Bogota,Silver,2924,"Reserva CFR903: tarifa Plus, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Silver, 2924 millas acumuladas."
BUE283,Plus,Premium Business,Santiago-Lima,Black,46163,"Reserva BUE283: tarifa Plus, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Black, 46163 millas acumuladas."
GZZ571,Light,Economy,Santiago-Lima,Platinum,6934,"Reserva GZZ571: tarifa Light, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Platinum, 6934 millas acumuladas."
JUQ021,Full,Premium Business,Santiago-Lima,Red,39532,"Reserva JUQ021: tarifa Full, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Red, 39532 millas acumuladas."
TMU515,Light,Premium Business,Santiago-Buenos Aires,Red,51012,"Reserva TMU515: tarifa Light, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 51012 millas acumuladas."
HRA984,Light,Premium Economy,Santiago-Miami,Black,28760,"Reserva HRA984: tarifa Light, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Black, 28760 millas acumuladas."
BBQ026,Top,Premium Economy,Santiago-Buenos Aires,Red,7294,"Reserva BBQ026: tarifa Top, cabina Premium Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 7294 millas acumuladas."
NLQ078,Plus,Premium Economy,Santiago-Miami,Platinum,5717,"Reserva NLQ078: tarifa Plus, cabina Premium Economy, ruta Santiago-Miami, categoria LATAM Pass Platinum, 5717 millas acumuladas."
XKV373,Top,Premium Business,Santiago-Sao Paulo,Red,12206,"Reserva XKV373: tarifa Top, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 12206 millas acumuladas."
JDY080,Light,Premium Business,Santiago-Sao Paulo,Black,17862,"Reserva JDY080: tarifa Light, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Black, 17862 millas acumuladas."
VPQ531,Top,Premium Business,Santiago-Miami,Silver,1533,"Reserva VPQ531: tarifa Top, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Silver, 1533 millas acumuladas."
WTZ635,Plus,Economy,Santiago-Miami,Silver,69158,"Reserva WTZ635: tarifa Plus, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Silver, 69158 millas acumuladas."
FCW375,Full,Premium Business,Santiago-Buenos Aires,Red,10957,"Reserva FCW375: tarifa Full, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 10957 millas acumuladas."
QRA982,Plus,Premium Economy,Santiago-Sao Paulo,Platinum,20250,"Reserva QRA982: tarifa Plus, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Platinum, 20250 millas acumuladas."
YJE160,Light,Economy,Santiago-Buenos Aires,Silver,18184,"Reserva YJE160: tarifa Light, cabina Economy, ruta Santiago-Buenos Aires, categoria LATAM Pass Silver, 18184 millas acumuladas."
FLJ377,Light,Economy,Santiago-Bogota,Red,5213,"Reserva FLJ377: tarifa Light, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Red, 5213 millas acumuladas."
DQS264,Full,Premium Economy,Santiago-Sao Paulo,Gold,24919,"Reserva DQS264: tarifa Full, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Gold, 24919 millas acumuladas."
FNJ165,Top,Economy,Santiago-Bogota,Platinum,36669,"Reserva FNJ165: tarifa Top, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Platinum, 36669 millas acumuladas."
KQA321,Top,Premium Economy,Santiago-Sao Paulo,Silver,10442,"Reserva KQA321: tarifa Top, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 10442 millas acumuladas."
CML152,Top,Economy,Santiago-Miami,Gold,15745,"Reserva CML152: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Gold, 15745 millas acumuladas."
WBA985,Full,Premium Business,Santiago-Miami,Gold,23829,"Reserva WBA985: tarifa Full, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Gold, 23829 millas acumuladas."
GKZ194,Top,Economy,Santiago-Miami,Platinum,6187,"Reserva GKZ194: tarifa Top, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Platinum, 6187 millas acumuladas."
WFQ533,Top,Economy,Santiago-Sao Paulo,Red,1480,"Reserva WFQ533: tarifa Top, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 1480 millas acumuladas."
